Fund,Department,BCL Code,BCL Name,BCL Purpose,2014 Expenditure Allowance 
2008 Parks Levy Fund,Department of Parks and Recreation,K720032,2008 Parks Levy- Shoreline Access (33860-CIP),The purpose of the 2008 Parks Levy - Shoreline Access Budget Control Level (BCL) is to develop existing City-owned street ends to provide publicly accessible shoreline. This BCL is funded by the 2008 Parks Levy Fund (Fund 33860).,75000.00
McCaw Hall Capital Reserve,Seattle Center,S0303,McCaw Hall Maintenance Fund (34070-CIP),The purpose of the McCaw Hall Maintenance Fund Budget Control Level (BCL) is to develop an Asset Preservation Plan for McCaw Hall and fund capital investments in the facility. This BCL is supported by resources from the McCaw Hall Maintenance Fund (Fund 34070).,500000.00
2007 Multipurpose LTGO Bond Fund,Department of Finance & Administrative Services,DEBTISSUE,Debt Issuance Costs,The purpose of the Debt Issuance Costs Budget Control Level is to pay debt issuance costs related to the 2013 Multipurpose Limited Tax General Obligation (LTGO) Debt Issuance.,2403303.00
2013 Multipurpose LTGO Bond Fund,Department of Finance & Administrative Services,A1IT,Information Technology (35700-CIP),"The purpose of the Information Technology Budget Control Level (BCL) is to replace, upgrade or maintain FAS information technology systems to meet the evolving enterprise activities of the City. This BCL is funded by 2013 LTGO bond Dollars (Fund 35700).",1000000.00
2014 Multipurpose LTGO Bond Fund,Department of Finance & Administrative Services,A1FL1,Neighborhood Fire Stations (35800-CIP),The purpose of the Neighborhood Fire Stations Budget Control Level (BCL) is to replace and renovate fire stations and other emergency response facilities as part of the Fire Facilities and Emergency Response Levy program. This BCL is funded by Limited Tax General Obligation Bond moneys (Fund 35800).,8649947.00
Central Waterfront Improvement Fund,Seattle Department of Transportation,CWIF-INT,Central Waterfront Improvement Fund Interest Expense,The purpose of the Central Waterfront Improvement Fund Interest Expense Program is to appropriate interest expense allocated to the Fund.,595000.00
City Light Fund,Seattle City Light,SCL100,Office of Superintendent,The purpose of the Office of the Superintendent Budget Control Level is to provide leadership and broad departmental policy direction to deliver reliable electric power and maintain the financial health of the utility. The utility's communications and governmental affairs functions are included in this Budget Control Level.,3198260.00
City Light Fund,Seattle City Light,SCL210,Power Supply O&M,"The purpose of the Power Supply O&M Budget Control Level is to provide clean, safe, economic, efficient, reliable sources of electric power for City Light customers. This Budget Control Level supports the power generation and power marketing operations of the utility. Utility-wide support services such as shops, real estate, fleet, and facility management services are also included in this Budget Control Level.",51451102.00
City Light Fund,Seattle City Light,SCL220,Conservation Resources and Environmental Affairs O&M,"The purpose of the Conservation Resources and Environmental Affairs O&M Budget Control Level is to design and implement demand-side conservation measures that offset the need for additional generation resources, and to help the utility generates and delivers energy in an environmentally responsible manner. This Budget Control Level also supports the utility's renewable resource development programs.",61573633.00
City Light Fund,Seattle City Light,SCL250,Power Supply & Environmental Affairs - CIP,The purpose of the Power Supply & Environmental Affairs - CIP Budget Control Level is to provide for the capital costs of maintaining the physical generating plant and associated power license and regulatory requirements. This Budget Control Level supports capital projects identified in the Proposed 2012-2017 Capital Improvement Plan.,63417769.00
City Light Fund,Seattle City Light,SCL310,Distribution Services,"The purpose of the Distribution Services Budget Control Level is to provide reliable electricity to customers through operation and maintenance of City Light's overhead and underground distribution systems, substations, and transmission systems.",73941794.00
City Light Fund,Seattle City Light,SCL320,Customer Services,"The purpose of the Customer Services Budget Control Level is to provide customer services, including metering, billing, account management, and customer information systems.",28307173.00
City Light Fund,Seattle City Light,SCL360,Transmission and Distribution - CIP,"The purpose of the Transmission and Distribution - CIP Budget Control Level is to provide for the capital costs of installation, major maintenance, rehabilitation, and replacement of transmission lines, substations, distribution feeders, transformers, and other elements of the utility's transmission and distribution systems. This Budget Control Level supports capital projects identified in the Proposed 2012-2017 Capital Improvement Plan.",83447858.00
City Light Fund,Seattle City Light,SCL370,Customer Focused - CIP,"The purpose of the Customer Focused - CIP Budget Control Level is to provide for the capital costs of customer service connections, meters, and other customer-driven projects, including large inter-agency projects requiring utility services or relocations. This Budget Control Level supports capital projects identified in the Proposed 2012-2017 Capital Improvement Plan.",57204028.00
City Light Fund,Seattle City Light,SCL400,Human Resources,"The purpose of the Human Resources Budget Control Level is to provide employee and management support services, including safety programs, organizational development, training, personnel, and labor relations.",9137512.00
City Light Fund,Seattle City Light,SCL500,Financial Services - O&M,"The purpose of the Financial Services - O&M Budget Control Level is to manage the utility's financial health through planning, risk mitigation, and provision of information to make financial decisions. Information technology services are also provided through this Budget Control Level to support systems and applications used throughout the utility.",36575868.00
City Light Fund,Seattle City Light,SCL550,Financial Services - CIP,"The purpose of the Financial Services - CIP Budget Control Level is to provide for the capital costs of rehabilitation and replacement of the utility's financial systems and information technology infrastructure, and the development and implementation of large software applications. This Budget Control Level supports capital projects identified in the Proposed 2012-2017 Capital Improvement Plan.",15920063.00
Solid Waste Fund,Seattle Public Utilities,N300B-SW,Customer Service,The purpose of the Solid Waste Utility Customer Service Budget Control Level is to provide customer service in the direct delivery of programs and services.,13048606.00
City Light Fund,Seattle City Light,SCL710,Short-Term Purchased Power,"The purpose of the Short-term Purchased Power Budget Control Level is to acquire wholesale power, transmission, and other related services (including renewable energy credits) to manage the utility's short-term demand given the variability of hydroelectric power. This Budget Control Level provides appropriations for planned transactions of up to 24 months in advance.",55573481.00
City Light Fund,Seattle City Light,SCL720,Long-Term Purchased Power,"The purpose of the Long-term Purchased Power Budget Control Level is to acquire wholesale power, transmission, and other related services (including renewable energy credits) to meet the utility's long-term demand for power. This Budget Control Level provides appropriations for planned transactions beyond 24 months in advance.",287056885.00
City Light Fund,Seattle City Light,SCL800,General Expenses,"The purpose of the General Expenses Budget Control Level is to provide for the general expenses of the utility that, for the most part, are not directly attributable to a specific organizational unit. These expenditures include insurance, bond issue costs, bond maintenance fees, audit costs, Law Department legal fees, external legal fees, employee benefits (medical and retirement costs), industrial insurance costs, general claims costs, and services provided by the City's internal services departments through the central cost allocation mechanism.",87109392.00
City Light Fund,Seattle City Light,SCL810,Debt Service,The purpose of the Debt Service Budget Control Level is to meet principal repayment and interest obligations on funds borrowed to meet City Light's capital expenditure requirements.,196466429.00
City Light Fund,Seattle City Light,SCL820,Taxes,"The purpose of the Taxes Budget Control Level is to pay City Light's legally required tax payments for state, city, and local jurisdictions. This Budget Control Level includes funding for franchise contract payments negotiated with local jurisdictions in City Light's service territory.",86159047.00
City Light Fund,Seattle City Light,SCL900,Compliance and Security,The purpose of the Compliance and Security Budget Control Level is to monitor compliance with federal electric reliability standards and secure critical utility infrastructure.,3442861.00
Water Fund,Seattle Public Utilities,C110B,Distribution,"The purpose of the Water Utility Distribution Budget Control Level, a Capital Improvement Program funded by water revenues, is to repair and upgrade the City's water lines, pump stations, and other facilities.",20393599.00
Water Fund,Seattle Public Utilities,C120B,Transmission,"The purpose of the Water Utility Transmission Budget Control Level, a Capital Improvement Program funded by water revenues, is to repair and upgrade the City's large transmission pipelines that bring untreated water to the treatment facilities, and convey water from the treatment facilities to Seattle and its suburban wholesale customers' distribution systems.",3075786.00
Water Fund,Seattle Public Utilities,C130B,Watershed Stewardship,"The purpose of the Water Utility Watershed Stewardship Budget Control Level, a Capital Improvement Program funded by water revenues, is to implement projects associated with the natural land, forestry, and fishery resources within the Tolt, Cedar, and Lake Youngs watersheds.",1999.00
Water Fund,Seattle Public Utilities,C140B,Water Quality & Treatment,"The purpose of the Water Utility Water Quality & Treatment Budget Control Level, a Capital Improvement Program funded by water revenues, is to design, construct, and repair water treatment facilities and remaining open-water reservoirs.",5303791.00
Water Fund,Seattle Public Utilities,C150B,Water Resources,"The purpose of the Water Utility Water Resources Budget Control Level, a Capital Improvement Program funded by water revenues, is to manage untreated water to meet anticipated demands at our supply-reliability standard and instream flow requirement, and promote residential and commercial water conservation.",8212072.00
Water Fund,Seattle Public Utilities,C160B,Habitat Conservation Program,"The purpose of the Water Utility Habitat Conservation Budget Control Level, a Capital Improvement Program funded by water revenues, is to manage projects directly related to the Cedar River Watershed Habitat Conservation Plan.",2490751.00
Water Fund,Seattle Public Utilities,C410B-WU,Shared Cost Projects,"The purpose of the Water Utility Shared Cost Projects Budget Control Level, which is a Water Capital Improvement Program, is to implement the Water Utility's share of capital improvement projects that receive funding from multiple SPU funds.",19402731.00
Water Fund,Seattle Public Utilities,C510B-WU,Technology,"The purpose of the Water Utility Technology Budget Control Level, a Capital Improvement Program, is to make use of technology to increase the Water Utility's efficiency and productivity.",8596072.00
Water Fund,Seattle Public Utilities,N000B-WU,General Expense,The purpose of the Water Utility General Expense Budget Control Level is to appropriate funds to pay the Water Utility's general expenses.,143332578.00
Water Fund,Seattle Public Utilities,N100B-WU,Administration,"The purpose of the Water Utility Administration Budget Control Level is to provide overall management and policy direction for Seattle Public Utilities, and, more specifically, for the Water Utility, and to provide core financial, human resource, and information technology services.",10903062.00
Water Fund,Seattle Public Utilities,N300B-WU,Customer Service,The purpose of the Water Utility Customer Service Budget Control Level is to provide customer service in the direct delivery of programs and services.,10368549.00
Water Fund,Seattle Public Utilities,N400B-WU,Other Operating,"The purpose of the Other Operating Budget Control Level is to fund the Water Utility's operating expenses for Field Operations, Pre- Capital Planning & Development, Project Delivery, and Utility Systems Management programs.",48921572.00
Drainage and Wastewater Fund,Seattle Public Utilities,C333B,Protection of Beneficial Uses,"The purpose of the Drainage and Wastewater Utility Protection of Beneficial Uses Budget Control Level, a Capital Improvement Program funded by drainage revenues, is to make improvements to the city's drainage system to reduce the harmful effects of stormwater runoff on creeks and receiving waters by improving water quality and protecting or enhancing habitat.",5141941.00
Drainage and Wastewater Fund,Seattle Public Utilities,C350B,Sediments,"The purpose of the Drainage and Wastewater Utility Sediments Budget Control Level, a Capital Improvement Program funded by drainage and wastewater revenues, is to restore and rehabilitate natural resources in or along Seattle's waterways.",2050342.00
Drainage and Wastewater Fund,Seattle Public Utilities,C360B,Combined Sewer Overflows,"The purpose of the Drainage and Wastewater Utility Combined Sewer Overflow (CSO) Budget Control Level, a Capital Improvement Program funded by drainage and wastewater revenues, is to plan and construct large infrastructure systems, smaller retrofits, and green infrastructure for CSO control.",49201662.00
Drainage and Wastewater Fund,Seattle Public Utilities,C370B,Rehabilitation,"The purpose of the Drainage and Wastewater Utility Rehabilitation Budget Control Level, a Capital Improvement Program funded by drainage and wastewater revenues, is to rehabilitate or replace existing drainage and wastewater assets in kind, to maintain the current functionality of the system.",8770000.00
Drainage and Wastewater Fund,Seattle Public Utilities,C380B,"Flooding, Sewer Back-up, and Landslides","The purpose of the Drainage and Wastewater Utility Flooding, Sewer Back-up, and Landslides Budget Control Level, a Capital Improvement Program funded by drainage and wastewater revenues, is to plan, design, and construct systems aimed at preventing or alleviating flooding and sewer backups in the city of Seattle, protecting public health, safety, and property. This program also protects SPU drainage and wastewater infrastructure from landslides, and makes drainage improvements where surface water generated from the City right-of-way contributes to landslides.",17201000.00
Drainage and Wastewater Fund,Seattle Public Utilities,C410B-DW,Shared Cost Projects,"The purpose of the Drainage and Wastewater Utility Shared Cost Projects Budget Control Level, a Drainage and Wastewater Capital Improvement Program, is to implement the Drainage and Wastewater Utility's share of capital improvement projects that receive funding from multiple SPU funds benefiting the Utility.",11394835.00
Drainage and Wastewater Fund,Seattle Public Utilities,C510B-DW,Technology,"The purpose of the Drainage and Wastewater Utility Technology Budget Control Level, a Capital Improvement Program, is to make use of recent technology advances to increase the Drainage and Wastewater Utility's efficiency and productivity.",7612800.00
Drainage and Wastewater Fund,Seattle Public Utilities,N000B-DW,General Expense,The purpose of the Drainage and Wastewater Utility General Expense Budget Control Level is to appropriate funds to pay the Drainage and Wastewater Utility's general expenses.,240054742.00
Drainage and Wastewater Fund,Seattle Public Utilities,N100B-DW,Administration,"The purpose of the Drainage and Wastewater Utility Administration Budget Control Level is to provide overall management and policy direction for Seattle Public Utilities and, more specifically, for the Drainage and Wastewater Utility, and to provide core financial, human resource, and information technology services.",6248372.00
Drainage and Wastewater Fund,Seattle Public Utilities,N300B-DW,Customer Service,The purpose of the Drainage and Wastewater Utility Customer Service Budget Control Level is to provide customer service in the direct delivery of programs and services.,7506712.00
Drainage and Wastewater Fund,Seattle Public Utilities,N400B-DW,Other Operating,"The purpose of the Other Operating Budget Control Level is to fund the Drainage and Wastewater Utility's operating expenses for Field Operations, Pre-Capital Planning & Development, Project Delivery, and Utility Systems Management programs.",54825424.00
Solid Waste Fund,Seattle Public Utilities,C230B,New Facilities,"The purpose of the Solid Waste Utility New Facilities Budget Control Level, a Capital Improvement Program funded by solid waste revenues, is to design and construct new facilities to enhance solid waste operations.",32077233.00
Solid Waste Fund,Seattle Public Utilities,C240B,Rehabilitation and Heavy Equipment,"The purpose of the Solid Waste Utility Rehabilitation and Heavy Equipment Budget Control Level, a Capital Improvement Program funded by solid waste revenues, is to implement projects to repair and rehabilitate the City's solid waste transfer stations and improve management of the City's closed landfills and household hazardous waste sites.",45000.00
Solid Waste Fund,Seattle Public Utilities,C410B-SW,Shared Cost Projects,"The purpose of the Solid Waste Utility Shared Cost Projects Budget Control Level, a Solid Waste Capital Improvement Program, is to implement the Solid Waste Utility's share of capital improvement projects that receive funding from multiple SPU funds and will benefit the Solid Waste Fund.",2356531.00
Solid Waste Fund,Seattle Public Utilities,C510B-SW,Technology,"The purpose of the Solid Waste Utility Technology Budget Control Level, a Capital Improvement Program, is to make use of technology to increase the Solid Waste Utility's efficiency and productivity.",4891677.00
Solid Waste Fund,Seattle Public Utilities,N000B-SW,General Expense,The purpose of the Solid Waste Utility General Expense Budget Control Level is to pay the Solid Waste Utility's general expenses.,142950399.00
Solid Waste Fund,Seattle Public Utilities,N100B-SW,Administration,"The purpose of the Solid Waste Utility Administration Budget Control Level is to provide overall management and policy direction for Seattle Public Utilities, and, more specifically, for the Solid Waste Utility, and to provide core financial, human resource, and information technology services.",5022716.00
Solid Waste Fund,Seattle Public Utilities,N400B-SW,Other Operating,"The purpose of the Other Operating Budget Control Level is to fund the Solid Waste Utility's operating expenses for Field Operations, Pre-Capital Planning & Development, Project Delivery, and Utility Systems Management programs.",16985077.00
Parking Garage Operations Fund (46010),Department of Finance & Administrative Services,46011,Pacific Place Garage,"The purpose of the Pacific Place Garage Budget Control Level is to pay for the City's expenses to operate the Pacific Place Garage, which is located between Sixth and Seventh Avenues and Pine and Olive Streets in downtown Seattle. ",8687760.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A1000,Budget and Central Services,"The purpose of the Budget and Central Services Budget Control Level is to provide executive leadership and a range of planning and support functions, including policy and strategic analysis, budget development and monitoring, financial analysis and reporting, accounting services, information technology services, human resource services, office administration, and central departmental services such as contract review and legislative coordination. These functions promote solid business systems, optimal resource allocation, and compliance with Citywide financial, technology, and personnel policies.",4516938.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A1GM1,General Government Facilities - General (50300-CIP),The purpose of the General Government Facilities - General Budget Control Level (BCL) is to execute capital projects in general government facilities. This BCL is funded by Fleets and Facilities Fund dollars (Fund 50300).,3500000.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A2000,Fleet Services,The purpose of the Fleet Services Budget Control Level is to provide fleet vehicles to City departments; assess and implement environmental initiatives related to both the composition of the City's fleet and the fuels that power it; actively manage and maintain the fleet; procure and distribute fuel; and operate a centralized motor pool. The goal of these functions is to create and support an environmentally responsible and cost-effective Citywide fleet that helps all City departments carry out their work as efficiently as possible.,47667135.00
Police Relief and Pension Fund (60400),Police Relief and Pension,RP604,Police Relief and Pension,The purpose of the Police Relief and Pension Budget Control Level is to provide responsive benefit services to eligible active-duty and retired Seattle police officers.,19359068.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A3000,Facility Services,"The purpose of the Facility Services Budget Control Level is to manage most of the City's general government facilities, including the downtown civic campus, police precincts, fire stations, shops and yards, and several parking facilities. Functions include property management, environmental analysis, implementation of environmentally sustainable facility investments, facility maintenance and repair, janitorial services, security services, and event scheduling. The Facility Operations team is also responsible for warehouse, real estate, and mail services throughout the City. These functions promote well-managed, clean, safe, and highly efficient buildings and grounds that house City employees and serve the public.",65267359.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A3100,Technical Services,The purpose of the Technical Services Budget Control Level is to plan and administer FAS' Capital Improvement Program. ,3160031.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A4000,Judgment and Claims,"The purpose of the Judgment and Claims Budget Control Level is to pay for judgments, settlements, claims, and other eligible expenses associated with legal claims and suits against the City. Premiums are based on average percentage of Judgment/ Claims expenses incurred by the Department over the previous five years.",222685.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A4510,Financial Services,"The purpose of the Financial Services Budget Control Level (BCL) is to oversee and provide technical support to the financial affairs of the City. This BCL performs a wide range of technical and operating functions, such as economic and fiscal forecasting, debt issuance and management, Citywide payroll processing, investments, risk management tax administration, and revenue and payment processing services. In addition, this BCL develops and implements a variety of City financial policies related to the City's revenues, accounting procedures, and risk mitigation. Finally, the BCL provides oversight and guidance to financial reporting, City retirement programs, and public corporations established by the City.",14205210.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A4520,Business Technology,"The purpose of the Business Technology Budget Control Level is to plan, strategize, develop, implement, and maintain information technologies to support the City's business activities.",12865644.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A4530,Revenue and Consumer Protection,"The purpose of the Consumer Protection Program is to support City services and regulations that attempt to provide Seattle consumers with a fair and well-regulated marketplace. This program includes taxicab inspections and licensing, the weights and measures inspection program, vehicle impound, and consumer complaint investigation.",3457271.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A4540,City Purchasing and Contracting Services,"The purpose of the City Purchasing and Contracting Services Budget Control Level is to conduct and administer all bids and contracts for Public Works and purchases (products, supplies, equipment, and services) on behalf of City departments.",3877135.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A5510,Seattle Animal Shelter,"The purpose of the Seattle Animal Shelter Budget Control Level is to provide animal care, enforcement, and spay and neuter services in Seattle to control pet overpopulation and foster public safety. The Shelter also provides volunteer and foster care programs that enable the citizens of Seattle to donate both time and resources and engage in activities which promote animal welfare in Seattle.",3343961.00
Finance and Administrative Services Fund (50300),Department of Finance & Administrative Services,A6510,Office of Constituent Services,"The purpose of the Office of Constituent Services Budget Control Level (BCL) is to lead City departments to improve on consistently providing services that are easily accessible, responsive, and fair. This includes assistance with a broad range of City services, such as transactions, information requests, and complaint investigations. This BCL includes the City's Customer Service Bureau, the Neighborhood Payment and Information Service Centers, Citywide public disclosure responsibilities, and service- delivery analysts.",2853183.00
Information Technology Fund (50410),Department of Information Technology,D1100,Finance and Administration,"The purpose of the Finance and Administration Budget Control Level is to provide human resources, contracting, finance, budget, and accounting services (planning, control, analysis, and consulting) to the Department, and to manage funding associated with Citywide information technology initiatives.",39097911.00
Information Technology Fund (50410),Department of Information Technology,D2200,Technology Leadership and Governance,The purpose of the Technology Leadership and Governance Budget Control Level is to provide departments with strategic direction and coordination on technology for their respective investment decisions.,2066185.00
Information Technology Fund (50410),Department of Information Technology,D3300,Technology Infrastructure,"The purpose of the Technology Infrastructure Budget Control Level is to build and operate the City's corporate communications and computing assets so that the City can manage information more effectively, deliver services more efficiently, and make better informed decisions.",38616236.00
Information Technology Fund (50410),Department of Information Technology,D4400,Office of Electronic Communications,"The purpose of the Office of Electronic Communications Budget Control Level is to operate the Seattle Channel, Cable Office, Web sites, and related programs so that technology delivers services and information to residents, businesses, visitors.",7487300.00
Employees' Retirement System Fund,Employees' Retirement System,R1E10,"Personnel, Maintenance, and Operations",The purpose of the Employees' Retirement Budget Control Level is to manage and administer retirement assets and benefits.,14133642.00
Firefighters Pension Fund (60200),Firefighters' Pension,R2F01,Firefighters' Pension,The purpose of the Firefighters' Pension Budget Control Level is to provide benefit services to eligible active and retired firefighters and their lawful beneficiaries.,19829267.00
Beach Maintenance Trust Fund,Department of Parks and Recreation,K72447,Docks/ Piers/ Floats/ Seawalls/ Shorelines (61500- CIP),"The purpose of the Docks/ Piers/ Floats/ Seawalls/ Shorelines Budget Control Level (BCL) is to provide for the rehabilitation and replacement of Parks and Recreation's docks, piers, floats, seawalls and shorelines. This BCL is funded by Beach Maintenance Trust Fund dollars (Fund 61500).",25000.00
Federal Vice Enforcement Forfeiture Fund (62480),Department of Finance & Administrative Services,A1PS1,Public Safety Facilities - Police (62480-CIP),"The purpose of the Public Safety Facilities - Police (62480- CIP) Budget Control Level (BCL) is to renovate, expand, replace, or build police facilities. This BCL is funded by the Federal Vice Enforcement Forfeiture Fund (62480).",1850000.00
Municipal Arts Fund (62600),Executive,2VMAO,Municipal Arts Fund,"The purpose of the Municipal Arts Fund Budget Control Level (BCL) is to fund the Public Art program, which develops art pieces and programs for City facilities and maintains the City's existing art collection. The BCL appropriates revenues from the Municipal Arts Fund (MAF). Most of the revenues come from the City's One Percent for Art program, a program that invests one percent of eligible capital funds in public art.",2513672.00
